project_id,owner,repo,tf_count,coverage,dev_name,dev_file_count,dev_coverage
1,apache,JMeter,3,32.20%,Sebastian Bazley,825,50.12
1,apache,JMeter,3,32.20%,Vladimir Sitnikov,710,43.13
1,apache,JMeter,3,32.20%,Philippe Mouawad,530,32.20
9,apache,fineract,10,47.56%,mage,2015,42.25
9,apache,fineract,10,47.56%,Arnold Galovics,649,13.61
9,apache,fineract,10,47.56%,Keith Woodlock,637,13.36
9,apache,fineract,10,47.56%,Adi Narayana Raju,545,11.43
9,apache,fineract,10,47.56%,Michael,465,9.75
9,apache,fineract,10,47.56%,Nazeer Hussain Shaik,334,7.00
9,apache,fineract,10,47.56%,Pramod Nuthakki,315,6.61
9,apache,fineract,10,47.56%,Vishwas Babu A J,314,6.58
9,apache,fineract,10,47.56%,ashok-conflux,301,6.31
9,apache,fineract,10,47.56%,Adam Saghy,300,6.29
17,apache,incubator-milagro-MPC,1,35.07%,Samuele Andreoli,110,82.09
25,apache,jackrabbit-filevault-package-maven-plugin,2,1.41%,Konrad Windszus,48,67.61
25,apache,jackrabbit-filevault-package-maven-plugin,2,1.41%,Tobias Bocanegra,36,50.70
33,apache,sling-apache-sling-jar-resource-bundle,0,0,,0,0
57,apache,sling-org-apache-sling-auth-saml2,1,0.00%,Cris Rockwell,25,100.00
73,apache,sling-org-apache-sling-committer-cli,2,3.90%,Radu Cotescu,59,76.62
73,apache,sling-org-apache-sling-committer-cli,2,3.90%,Robert Munteanu,38,49.35
89,apache,sling-org-apache-sling-commons-log-webconsole,1,0.00%,Chetan Mehrotra,9,100.00
97,apache,sling-org-apache-sling-commons-scheduler,2,29.03%,Carsten Ziegeler,19,61.29
97,apache,sling-org-apache-sling-commons-scheduler,2,29.03%,Bertrand Delacretaz,8,25.81
113,apache,sling-org-apache-sling-discovery-impl,1,32.26%,Stefan Egli,30,96.77
121,apache,sling-org-apache-sling-distribution-journal,2,5.67%,Christian Schneider,112,79.43
121,apache,sling-org-apache-sling-distribution-journal,2,5.67%,tmaret,96,68.09
129,apache,sling-org-apache-sling-event,2,32.35%,Stefan Egli,88,86.27
129,apache,sling-org-apache-sling-event,2,32.35%,Carsten Ziegeler,22,21.57
137,apache,sling-org-apache-sling-feature,1,46.88%,Carsten Ziegeler,62,96.88
145,apache,sling-org-apache-sling-feature-extension-content,1,0.00%,Dominik Suess,2,100.00
177,apache,sling-org-apache-sling-installer-factory-feature,2,7.14%,Carsten Ziegeler,9,64.29
177,apache,sling-org-apache-sling-installer-factory-feature,2,7.14%,David Bosschaert,8,57.14
201,apache,sling-org-apache-sling-jcr-oak-server,2,43.75%,Oliver Lietz,13,81.25
201,apache,sling-org-apache-sling-jcr-oak-server,2,43.75%,Bertrand Delacretaz,4,25.00
241,apache,sling-org-apache-sling-models-jacksonexporter,2,27.27%,Stefan Seifert,14,63.64
241,apache,sling-org-apache-sling-models-jacksonexporter,2,27.27%,Justin Edelson,12,54.55
273,apache,sling-org-apache-sling-scripting-core,2,44.62%,Radu Cotescu,29,44.62
273,apache,sling-org-apache-sling-scripting-core,2,44.62%,Oliver Lietz,14,21.54
281,apache,sling-org-apache-sling-scripting-jsp-api,0,0,,0,0
289,apache,sling-org-apache-sling-scripting-sightly-models-provider,1,0.00%,Radu Cotescu,1,100.00
297,apache,sling-org-apache-sling-security,2,42.86%,Antonio Sanso,2,28.57
297,apache,sling-org-apache-sling-security,2,42.86%,Carsten Ziegeler,2,28.57
305,apache,sling-org-apache-sling-servlets-resolver,3,41.94%,Carsten Ziegeler,33,53.23
305,apache,sling-org-apache-sling-servlets-resolver,3,41.94%,Felix Meschberger,14,22.58
305,apache,sling-org-apache-sling-servlets-resolver,3,41.94%,Karl Pauls,11,17.74
321,apache,sling-org-apache-sling-testing-jcr-mock,2,31.48%,Eric Norman,25,46.30
321,apache,sling-org-apache-sling-testing-jcr-mock,2,31.48%,sseifert,23,42.59
329,apache,sling-org-apache-sling-testing-sling-mock-oak,2,12.50%,Stefan Seifert,16,100.00
329,apache,sling-org-apache-sling-testing-sling-mock-oak,2,12.50%,Robert Munteanu,9,56.25
345,apache,sling-slingfeature-maven-plugin,1,45.65%,Carsten Ziegeler,60,65.22
353,apache,commons-compress,2,22.06%,Gary Gregory,570,91.79
353,apache,commons-compress,2,22.06%,Stefan Bodewig,242,38.97
369,apache,servicecomb-toolkit,1,31.44%,Daniel Qian,497,68.84
